-,-,-
--start---
61, -144, 999
63, -218, 1001
55, -227, 1015
59, -302, 994
59, -264, 1000
76, -346, 994
-,-,-
28, 303, 1014
29, 254, 966
67, 154, 1012
27, 221, 992
54, 244, 1000
15, 277, 990
15, 277, 990
37, 174, 1003
73, -1, 1010
43, -35, 982
33, 49, 1024
33, 49, 1024
24, 47, 967
14, 56, 1020
37, -15, 967
37, -15, 967
61, -104, 993
25, -146, 1014
49, -225, 1002
73, -302, 995
75, -328, 973
50, -325, 1025
50, -325, 1025
72, -414, 987
80, -475, 994
77, -433, 996
53, -132, 988
-,-,-
40, 175, 1000
41, 144, 997
-8, 187, 982
-8, 187, 982
-35, 199, 1007
24, 107, 1005
23, 138, 996
8, 91, 987
8, 91, 987
37, 102, 1018
47, 105, 999
56, 146, 1005
56, 146, 1005
49, 122, 1011
43, 119, 1013
62, 134, 984
49, 109, 987
60, 22, 1013
60, 22, 1013
67, -138, 1003
88, -171, 1008
61, -259, 1013
31, -235, 968
25, -250, 1019
39, -193, 998
39, -193, 998
33, -302, 1013
87, -371, 976
70, -421, 1014
82, -432, 978
-,-,-
7, 257, 1021
45, 312, 964
19, 168, 1024
6, 164, 979
6, 164, 979
12, 217, 991
27, 229, 1013
18, 204, 1013
11, 154, 996
11, 154, 996
59, 187, 994
67, 179, 1016
43, 161, 970
21, 176, 1005
21, 176, 1005
40, 117, 1017
33, 7, 997
53, -141, 999
59, -193, 979
59, -193, 979
61, -259, 1029
78, -184, 953
70, -230, 1032
91, -361, 960
104, -354, 1015
76, -414, 1001
73, -449, 989
73, -449, 989
91, -455, 1003
-,-,-
15, 305, 981
8, 261, 995
8, 261, 995
21, 181, 1008
62, 152, 1006
51, 154, 994
55, 139, 997
55, 139, 997
36, 126, 1007
73, 71, 1007
63, -2, 1007
56, -16, 981
56, -16, 981
23, 19, 1012
24, 9, 988
40, -59, 1013
40, -59, 1013
17, -153, 1039
37, -128, 965
43, -85, 987
20, -127, 988
34, -90, 1025
34, -90, 1025
44, -130, 994
45, -166, 1011
72, -292, 1014
79, -443, 976
73, -510, 963
-,-,-
12, 239, 980
15, 234, 988
22, 179, 964
44, 145, 1004
78, 12, 966
78, 12, 966
43, 46, 1010
43, 23, 1005
71, -19, 1001
71, -19, 1001
49, -35, 974
47, -161, 1011
72, -149, 962
34, -95, 987
28, -159, 1033
3, -140, 1001
3, -140, 1001
23, -141, 984
56, -222, 1023
74, -343, 978
74, -479, 998
97, -509, 992
-,-,-
8, 208, 1000
-23, 109, 998
-23, 109, 998
52, 24, 1000
31, 115, 1001
55, 147, 988
54, 117, 1015
77, 41, 1016
77, 41, 1016
76, 57, 1007
46, 71, 982
44, -12, 1005
44, -12, 1005
40, -43, 1038
49, -88, 997
44, -134, 988
42, -160, 984
39, -213, 1012
39, -213, 1012
26, -189, 998
58, -218, 988
41, -265, 1005
55, -313, 1000
73, -469, 1000
69, -367, 984
-,-,-
-33, 208, 1014
30, 137, 979
50, 94, 1001
31, 172, 975
55, 170, 1017
55, 170, 1017
56, 125, 1039
42, 93, 976
64, -13, 983
38, 9, 1009
38, 9, 1009
3, 25, 1013
33, -25, 998
25, -84, 996
25, -84, 996
47, -159, 1003
35, -153, 987
56, -246, 998
59, -274, 1003
67, -331, 999
67, -331, 999
-,-,-
-13, 226, 1009
-6, 204, 985
7, 210, 1015
7, 210, 1015
35, 198, 989
22, 189, 993
51, 58, 1041
74, 45, 989
74, 45, 989
39, 85, 998
67, 18, 987
67, 18, 987
15, -5, 992
22, -4, 999
75, -148, 1010
31, -152, 1008
31, -152, 1008
14, -101, 1006
13, -114, 978
34, -130, 1021
20, -161, 1020
33, -215, 955
42, -237, 1032
47, -313, 1016
47, -313, 958
91, -409, 958
-,-,-
52, 146, 962
55, 156, 1025
43, 180, 1009
43, 180, 1009
11, 250, 992
-2, 184, 1022
45, 80, 955
46, -17, 1023
